,Year,country,language,production_co,runtime,budget,gross_usa,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western,War
256,2018,USA,Russian, Grading Dimension Pictures,84.0,7800000.0,0.0,Vladlen Barbe,0,46.0,Nikolay Drozdov,Stanislav Duzhnikov,Armen Dzhigarkhanyan,,Vladlen Barbe,Vladlen Barbe,,41.0,Last Prince of Atlantis,0.0,4237.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
257,2018,India,Punjabi, Karamjit Anmol Productions,124.0,0.0,0.0,Smeep Kang,0,54.0,Rubina Bajwa,Karamjit Anmol,Nisha Bano,,Pali Bhupinder Singh,Pali Bhupinder Singh,,141.0,Laavan Phere,0.0,337086.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,2018,China,Mandarin, Its Cartoon Animation Studio,75.0,0.0,0.0,Ding Shi,0,56.0,Lisa Schwartz,Haylie Duff,Norm MacDonald,,Ma Hua,Ding Shi,,61.0,The Ladybug,0.0,4662924.0,   PG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,2018,South Korea,Korean, CJ E&M,120.0,0.0,75134.0,Sung-Hyun Choi,0,74.0,Byung-Hun Lee,Jung-min Park,Yuh-Jung Youn,,Sung-Hyun Choi,0,0,599.0,Keys To The Heart,9851282018.0,25375866.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2018,France,French, Madeleine Films,85.0,650000.0,0.0,July Hygreck,0,55.0,Syrus Shahidi,Charlotte Gabris,Tom Hygreck,,July Hygreck,Tom Hygreck,0,315.0,Blockbuster,0.0,2044.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,2018,India,Malayalam, Aashirvad Cinemas,158.0,0.0,0.0,Jeethu Joseph,0,67.0,Pranav Mohanlal,Sharafudheen,Meghanadhan,,0,0,0,1753.0,Aadhi,0.0,540930.0,Not Rated,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
262,2018,China,Mandarin, Beijing Qitai Ocean Culture & Media,117.0,0.0,118660.0,Youyin Wu,0,66.0,Mark Chao,Zishan Yang,Anastasia Berestova,,Youyin Wu,Youyin Wu,0,249.0,Till The End Of The World,5771342018.0,37013733.0,PG-13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,2018,Japan,Japanese,0,132.0,0.0,0.0,Gorô Taniguchi,0,71.0,0,0,0,0,0,0,0,70.0,Code Geass: Lelouch of the Rebellion Episode II,0.0,526114.0,TV-14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
264,2018,USA,English, Cineguild Entertainment Group,105.0,2000000.0,0.0,Dean Bivins,0,0.0,Gary Archer,Paul Borghese,L.M. Kit Carson,,Dean Bivins,0,0,0.0,The Killer's Kiss,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,2018,South Korea,Korean, Jeonwonsa Film,66.0,100000.0,8084.0,Sang-soo Hong,0,68.0,Min-hee Kim,Joobong Kee,Jae-hong Ahn,,Sang-soo Hong,0,0,663.0,Grass,2774212019.0,53503.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,2018,Russia,Russian, Terra Studio,60.0,50.0,0.0,Sergey A.,Silvia de Satkliff,73.0,Sergey A.,Silvia de Satkliff,0,0,Sergey A.,Silvia de Satkliff,0,31.0,Witch 2,0.0,0.0,Not Rated,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
267,2018,Czech Republic,Czech, Athanor,98.0,40000000.0,0.0,Jan Svankmajer,0,62.0,Jirí Lábus,Jan Budar,Jaromír Dulava,,Karel Capek,Josef Capek,,340.0,Hmyz,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,2018,Argentina,Spanish, Rio Abajo,94.0,480000.0,0.0,Mónica Lairana,0,56.0,Alejo Mango,Sandra Sandrini,0,0,Mónica Lairana,0,0,60.0,La cama,0.0,1203.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,2018,Sweden,Romanian, Film i Väst,102.0,0.0,0.0,Gabriela Pichler,0,61.0,Zahraa Aldoujaili,Yara Aliadotter,Fredrik Dahl,,Jonas Hassen Khemiri,Gabriela Pichler,0,461.0,Amatörer,0.0,7557.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
