,Year,country,language,production_co,runtime,budget,gross_usa,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating,Adventure,Animation,Biography,Comedy,Crime,Drama,Film-Noir,Horror,Mystery,Western,Action,Family,Fantasy,History,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War
191,1958,Sweden,Swedish, Svensk Filmindustri (SF),96.0,150000.0,0.0,Ingmar Bergman,0,82.0,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,,Ingmar Bergman,Ingmar Bergman,0,148449.0,The Seventh Seal,0.0,230571.0,Not Rated,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192,1973,USA,English, Zanuck/Brown Productions,129.0,5500000.0,156000000.0,George Roy Hill,0,83.0,Paul Newman,Robert Redford,Robert Shaw,,David S. Ward,0,0,226425.0,The Sting,0.0,156000000.0,   PG,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1950,USA,English, Paramount Pictures,110.0,1752000.0,299645.0,Billy Wilder,0,84.0,William Holden,Gloria Swanson,Erich von Stroheim,,Charles Brackett,Billy Wilder,,185514.0,Sunset Blvd.,169067132018.0,299645.0,Not Rated,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2004,USA,English, Warner Independent Pictures (WIP),80.0,2700000.0,5820649.0,Richard Linklater,0,80.0,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,,Richard Linklater,Julie Delpy,,215363.0,Before Sunset,21942542004.0,15622722.0,   R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195,1967,Italy,French, Casbah Film,121.0,800000.0,879794.0,Gillo Pontecorvo,0,81.0,Brahim Hadjadj,Jean Martin,Yacef Saadi,,Franco Solinas,Franco Solinas,,48655.0,The Battle of Algiers,64870112004.0,964028.0,Not Rated,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,1957,USA,English, Bryna Productions,88.0,935000.0,0.0,Stanley Kubrick,0,84.0,Kirk Douglas,Ralph Meeker,Adolphe Menjou,,Stanley Kubrick,Calder Willingham,,162531.0,Paths of Glory,0.0,5252.0,Not Rated,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,1994,Ireland,English, Hell's Kitchen Films,133.0,13000000.0,25096862.0,Jim Sheridan,0,81.0,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,,Gerry Conlon,Terry George,,145433.0,In the Name of the Father,10980521994.0,65796862.0,   R,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,1931,Germany,German, Nero-Film AG,117.0,0.0,35566.0,Fritz Lang,0,83.0,Peter Lorre,Ellen Widmann,Inge Landgut,,Thea von Harbou,Fritz Lang,0,132541.0,M,6123172013.0,35566.0,Not Rated,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
199,2014,India,Hindi, Rajkumar Hirani Films,153.0,0.0,10616104.0,Rajkumar Hirani,0,81.0,Aamir Khan,Anushka Sharma,Sanjay Dutt,,Rajkumar Hirani,Abhijat Joshi,0,144742.0,PK,3565258212014.0,100370104.0,Not Rated,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
200,1940,USA,English, Selznick International Pictures,130.0,1288000.0,0.0,Alfred Hitchcock,0,81.0,Laurence Olivier,Joan Fontaine,George Sanders,,Daphne Du Maurier,Robert E. Sherwood,,113805.0,Rebecca,0.0,72275.0,Not Rated,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
